artist,album,title,duration,playcount,rating,rating_interpretation
"DREAMCAR","DREAMCAR","Do Nothing","3:37","4","5","thumbs-up"
"DREAMCAR","DREAMCAR","Don't Let Me Love","3:12","5","5","thumbs-up"
"DREAMCAR","DREAMCAR","Slip On The Moon","4:00","3","5","thumbs-up"
"DREAMCAR","DREAMCAR","The Preferred","3:39","4","5","thumbs-up"
"DREAMCAR","DREAMCAR","The Assailant","2:33","4","5","thumbs-up"
"DREAMCAR","DREAMCAR","Ever Lonely","3:31","6","5","thumbs-up"
"Ayumi Nakamura","NJPW","Kaze Ni Nare","4:52","17","5","thumbs-up"
"Tough Tits","Hang In There: A DIY Covers Compilation","Deceptacon (Le Tigre)","2:58","5","5","thumbs-up"
"Wolf Girl","Hang In There: A DIY Covers Compilation","I'm Not Okay (My Chemical Romance)","2:35","2","5","thumbs-up"
"DREAMCAR","DREAMCAR","Born To Lie","3:50","3","5","thumbs-up"
"DREAMCAR","DREAMCAR","All Of The Dead Girls","3:31","17","5","thumbs-up"
"DREAMCAR","DREAMCAR","Kill for Candy","2:54","4","5","thumbs-up"
"Bob's Burgers","The Bob's Burgers Music Album","Bad Girls (Bob's Buskers)","1:54","5","5","thumbs-up"
"Paramore","After Laughter","Fake Happy","3:55","27","5","thumbs-up"
"Paramore","After Laughter","Forgiveness","3:39","16","5","thumbs-up"
"Paramore","After Laughter","Rose-Colored Boy","3:32","32","5","thumbs-up"
"Paramore","After Laughter","Hard Times","3:02","34","5","thumbs-up"
"Mick Gordon","Prey (Original Game Soundtrack)","The Phantoms","3:09","7","5","thumbs-up"
"Mick Gordon","Prey (Original Game Soundtrack)","Everything Is Going to Be Okay","2:29","17","5","thumbs-up"
"Mick Gordon","Prey (Original Game Soundtrack)","The Experiment","1:36","7","5","thumbs-up"
"The White Stripes","The White Stripes","St. James Infirmary Blues","2:25","9","5","thumbs-up"
"Scooter","Jumping All Over The World","Ramp (The Logical Song)","3:49","5","5","thumbs-up"
"Scooter","Jumping All Over The World","Fire","3:33","3","5","thumbs-up"
"Scandroid","The Force Theme","The Force Theme","5:23","2","5","thumbs-up"
"Regina Spektor","Kubo and the Two Strings (Original Motion Picture Soundtrack)","While My Guitar Gently Weeps","5:23","2","5","thumbs-up"
"Perturbator","Tactical Precision Disarray","Tactical Precision Disarray","5:32","3","5","thumbs-up"
"Junior","Veronica","Veronica","3:49","7","5","thumbs-up"
"Junior Senior","D-D-Don't Don't Stop the Beat","Move Your Feet","3:01","14","5","thumbs-up"
"The Cramps","Off The Bone","Human Fly","2:16","40","5","thumbs-up"
"WWE & CFO$","Root of All Evil (Aleister Black) [feat. Incendiary]","Root of All Evil (Aleister Black) [feat. Incendiary]","5:56","9","5","thumbs-up"
"AFI","AFI (The Blood Album)","The Wind That Carries Me Away","3:38","4","5","thumbs-up"
"AFI","AFI (The Blood Album)","Pink Eyes","3:28","4","5","thumbs-up"
"Peach Club","Mission Impossible","Mission Impossible","2:15","3","5","thumbs-up"
"AFI","AFI (The Blood Album)","Dumb Kids","2:40","4","5","thumbs-up"
"AFI","AFI (The Blood Album)","So Beneath You","3:19","2","5","thumbs-up"
"AFI","AFI (The Blood Album)","Get Hurt","3:44","2","5","thumbs-up"
"AFI","AFI (The Blood Album)","Hidden Knives","2:56","2","5","thumbs-up"
"AFI","AFI (The Blood Album)","Dark Snow","3:17","6","5","thumbs-up"
"Sleigh Bells","Jessica Rabbit","I Can Only Stare","3:33","11","5","thumbs-up"
"The Servant","The Servant","Cells","4:50","10","5","thumbs-up"
"David Guetta","Listen","Rise (feat. Skylar Grey)","3:55","12","5","thumbs-up"
"OKADA","Impermanence","Vulnerability","14:54","4","5","thumbs-up"
"AFI","AFI (The Blood Album)","White Offerings","2:50","4","5","thumbs-up"
"AFI","AFI (The Blood Album)","Snow Cats","3:20","5","5","thumbs-up"
"AFI","AFI (The Blood Album)","Aurelia","2:54","3","5","thumbs-up"
"Jidenna","The Chief","Long Live the Chief","2:40","8","5","thumbs-up"
"Furniteur","Furniteur Ep","Secret Plans","3:16","3","5","thumbs-up"
"Karen O","I Shall Rise (From ""Rise of the Tomb Raider"")","I Shall Rise (From ""Rise of the Tomb Raider"")","3:04","4","5","thumbs-up"
"The Five Stars","Fallout 4: Soundtrack Highlights","Atom Bomb Baby","2:18","6","5","thumbs-up"
"My Chemical Romance","Three Cheers For Sweet Revenge","I'm Not Okay (I Promise)","3:06","13","5","thumbs-up"
"pre)Thing","22nd Century Lifestyle: Episode//Rustandthesuperheroes Sexdrugsandsoutherncityrock","Can't Stop (22nd Century Lifestyle)","5:00","7","5","thumbs-up"
"Genki Rockets","Genki Rockets I","Heavenly Star","3:57","4","5","thumbs-up"
"Sammus","Infusion","Time Crisis","3:54","8","5","thumbs-up"
"Yelawolf","Shadows","Shadows (feat. Joshua Hedley)","5:13","2","5","thumbs-up"
"Dead Kennedys","Plastic Surgery Disasters/In God We Trust, Inc.","Nazi Punks Fuck Off","1:03","6","5","thumbs-up"
"The Last Shadow Puppets","Bad Habits","Bad Habits","3:00","4","5","thumbs-up"
"The Raconteurs","Broken Boy Soldiers","Steady, As She Goes","3:36","3","5","thumbs-up"
"Kate Boy","One","Northern Lights","3:35","2","5","thumbs-up"
"Dog Party","'Til You're Mine","Rebel Girl","2:48","3","5","thumbs-up"
"!!!","All U Writers / Gonna Guetta Stomp","All U Writers","5:22","3","5","thumbs-up"
"bo en","Pale Machine","Miss You","3:22","7","5","thumbs-up"
"7 Year Bitch","¡Viva Zapata!","Get Lit","1:53","3","5","thumbs-up"
"The Gits","Frenching The Bully","Kings And Queens","1:58","6","5","thumbs-up"
"Le Tigre","The Punk Singer (Original Motion Picture Soundtrack)","Keep on Livin'","3:07","6","5","thumbs-up"
"Bangs","Sweet Revenge","Southern Girls","3:52","4","5","thumbs-up"
"Screaming Females","Power Move","Halfway Down","2:37","4","5","thumbs-up"
"Bratmobile","The Real Janelle EP","The Real Janelle","1:41","4","5","thumbs-up"
"Sleater-Kinney","The Hot Rock","Get Up","3:46","6","5","thumbs-up"
"Shaggy","The Boombastic Collection - Best Of Shaggy (International Version)","It Wasn't Me (feat. Ricardo Ducent)","3:47","10","5","thumbs-up"
"OutKast","Stankonia","Ms. Jackson","4:30","11","5","thumbs-up"
"OutKast","Speakerboxxx/The Love Below (Deluxe)","Hey Ya","3:55","9","5","thumbs-up"
"Nine Inch Nails","With Teeth","The Hand That Feeds","3:32","8","5","thumbs-up"
"The Black Belles","The Black Belles","Not Tonight","2:18","4","5","thumbs-up"
"Peach Club","Gr8","Gr8","2:26","4","5","thumbs-up"
"Pep Love","The Rigmarole","Hip Hop My Friend","3:28","4","5","thumbs-up"
"Eric B. & Rakim","Gold","Don't Sweat The Technique","4:21","9","5","thumbs-up"
"Dual Core","All the Things","All the Things","4:44","10","5","thumbs-up"
"Clark","Clark","Winter Linn","3:08","7","5","thumbs-up"
"XTRMST","XTRMST","Conformist","2:36","4","5","thumbs-up"
"Marilyn Manson","Lest We Forget","The Nobodies","3:36","14","5","thumbs-up"
"Tool","Ænima","Stinkfist","5:11","30","5","thumbs-up"
"The Julie Ruin","Hit Reset","I Decide","3:32","1","5","thumbs-up"
"The Julie Ruin","Hit Reset","Hit Reset","2:27","5","5","thumbs-up"
"Shadow Child","Subsoul","23 (feat. Tymer)","5:41","4","5","thumbs-up"
"Sleater-Kinney","The Woods","Entertain","4:55","2","5","thumbs-up"
"Perfect Pussy","Say Yes To Love","Work","2:08","1","5","thumbs-up"
"Perfect Pussy","Say Yes To Love","Big Stars","2:19","2","5","thumbs-up"
"Perfect Pussy","Say Yes To Love","Bells","1:41","4","5","thumbs-up"
"Perfect Pussy","Say Yes To Love","Driver","2:16","6","5","thumbs-up"
"Fear, and Loathing in Las Vegas","Dragon Gate - OPEN THE MUSIC GATE 2012","Evolution ~Entering the new world~ [PAC Theme]","2:50","7","5","thumbs-up"
"Jambinai","Differance","Time of Extinction","2:56","1","5","thumbs-up"
"Antony and the Johnsons","I Am a Bird Now","Hope There's Someone","4:22","3","5","thumbs-up"
"Turnstile","Move Thru Me","Move Thru Me","2:18","4","5","thumbs-up"
"Jidenna","Wondaland Presents: The Eephus","Classic Man (feat. Roman GianArthur)","3:46","8","5","thumbs-up"
"Agoraphobic Nosebleed","Arc","Deathbed","8:31","10","5","thumbs-up"
"Iggy Pop","Platinum & Gold Collection","Lust For Life","5:12","3","5","thumbs-up"
"Iggy Pop","Platinum & Gold Collection","The Passenger","4:41","41","5","thumbs-up"
"The Zeros","Don't Push Me Around","Don't Push Me Around","2:25","6","5","thumbs-up"
"65daysofstatic","No Man's Sky: Music For An Infinite Universe","Escape Velocity","2:55","8","5","thumbs-up"
"65daysofstatic","No Man's Sky: Music For An Infinite Universe","Supermoon","4:22","9","5","thumbs-up"
"65daysofstatic","No Man's Sky: Music For An Infinite Universe","Asimov","5:51","2","5","thumbs-up"
"Jake Kaufman","Shovel Knight The Definitive Soundtrack","The Starlit Wilds (Campfire Scene)","1:38","4","5","thumbs-up"
"Jake Kaufman","Shovel Knight The Definitive Soundtrack","Strike the Earth (Plains of Passage)","3:44","10","5","thumbs-up"
"Jake Kaufman","Shovel Knight The Definitive Soundtrack","Main Theme","2:43","1","5","thumbs-up"
"Junior","Juniorland","A House That's Not Quite Home","5:22","31","5","thumbs-up"
"Wu-Tang Clan","The W","Gravel Pit","4:51","10","5","thumbs-up"
"AFI","Short Music for Short People","Hears Frozen Soil Thawed Once More By The Spring of Rage, Despair, and Hopelessness","0:32","6","5","thumbs-up"
"Nicky Flowers","Wii Shop Channel (Remix)","Wii Shop Channel (Remix)","2:47","11","5","thumbs-up"
"DREAM NAILS","DIY","Deep Heat","2:32","15","5","thumbs-up"
"DREAM NAILS","DIY","Nt Abt U","2:17","15","5","thumbs-up"
"DREAM NAILS","DIY","Bully Girl","2:58","12","5","thumbs-up"
"DREAM NAILS","DIY","DIY","1:51","9","5","thumbs-up"
"Peach Club","The Bitch Diaries","My Best Friend","2:02","10","5","thumbs-up"
"Peach Club","The Bitch Diaries","Equivocator","2:38","7","5","thumbs-up"
"Peach Club","The Bitch Diaries","Go Away","2:34","3","5","thumbs-up"
"Peach Club","The Bitch Diaries","I'm A Bitch","2:53","8","5","thumbs-up"
"Sex Stains","Sex Stains","Don't Hate Me 'Cuz I'm Beautiful","1:00","3","5","thumbs-up"
"Sex Stains","Sex Stains","Period. Period.","1:47","1","5","thumbs-up"
"Sex Stains","Sex Stains","Land of La LA","2:10","2","5","thumbs-up"
"Sex Stains","Sex Stains","Countdown to...","1:55","3","5","thumbs-up"
"WWE & CFO$","Won't Let Go (Cedric Alexander)","Won't Let Go (Cedric Alexander)","4:19","5","5","thumbs-up"
"WWE & CFO$","Around the World (Rich Swann)","Around the World (Rich Swann)","4:12","9","5","thumbs-up"
"Drive-By Truckers","The Dirty South","Where the Devil Don't Stay","5:19","7","5","thumbs-up"
"Peaches","Boys Wanna Be Her","Boys Wanna Be Her","3:57","5","5","thumbs-up"
"Skrillex & Rick Ross","Suicide Squad: The Album","Purple Lamborghini","3:35","10","5","thumbs-up"
"BABYMETAL","BABYMETAL","BABYMETAL DEATH","5:48","5","5","thumbs-up"
"BABYMETAL","BABYMETAL","Head Bangeeeeerrrrr","4:02","8","5","thumbs-up"
"Mick Gordon","Doom (Original Game Soundtrack)","Harbinger","7:11","7","5","thumbs-up"
"WWE, CFO$ & Lesley Roy","Free the Flame (Ember Moon)","Free the Flame (Ember Moon)","3:55","6","5","thumbs-up"
"Knife Party","Abandon Ship","Begin Again","5:55","4","5","thumbs-up"
"Mick Gordon","Doom (Original Game Soundtrack)","Vega Core","8:03","3","5","thumbs-up"
"Mick Gordon & Chad Mossholder","Doom (Original Game Soundtrack)","Olivia's Doom (Chad Mossholder Remix)","4:40","3","5","thumbs-up"
"Mick Gordon","Doom (Original Game Soundtrack)","Uac Report File; Shto36u3","3:04","4","5","thumbs-up"
"Mick Gordon","Doom (Original Game Soundtrack)","Cyberdemon","6:18","4","5","thumbs-up"
"Mick Gordon","Doom (Original Game Soundtrack)","SkullHacker","7:15","7","5","thumbs-up"
"Mick Gordon & Chris Hite","Doom (Original Game Soundtrack)","6_idkill.Vega.Cih","1:38","6","5","thumbs-up"
"Mick Gordon","Doom (Original Game Soundtrack)","Lazarus Waves","3:39","2","5","thumbs-up"
"Mick Gordon","Doom (Original Game Soundtrack)","Dr. Samuel Hayden","4:10","1","5","thumbs-up"
"Mick Gordon","Doom (Original Game Soundtrack)","Transistor Fist","6:09","4","5","thumbs-up"
"The Bloody Beetroots","Romborama","Make Me Blank (feat. J*davey)","3:51","1","5","thumbs-up"
"Noisia","Split the Atom (Special Edition)","Machine Gun (16 Bit Remix)","6:00","4","5","thumbs-up"
"Freestylers (feat. Pendulum & SirReal)","Painkiller (Remixes) [single]","Painkiller [Noisia Remix]","5:58","6","5","thumbs-up"
"Amanda Palmer","a tribute to Repo Man","Institutionalized","4:32","4","5","thumbs-up"
"Katie Ellen","TV Dreams","TV Dreams","2:19","2","5","thumbs-up"
"Katie Ellen","TV Dreams","Wild Heart","2:07","5","5","thumbs-up"
"Mick Gordon","Doom (Original Game Soundtrack)","BFG Division","8:26","7","5","thumbs-up"
"Mick Gordon","Doom (Original Game Soundtrack)","Flesh & Metal","7:02","5","5","thumbs-up"
"Mick Gordon","Doom (Original Game Soundtrack)","Authorization; Olivia Pierce","2:23","5","5","thumbs-up"
"Mick Gordon","Doom (Original Game Soundtrack)","Hellwalker","5:05","7","5","thumbs-up"
"Mick Gordon","Doom (Original Game Soundtrack)","Rust, Dust & Guts","7:41","9","5","thumbs-up"
"Mick Gordon","Doom (Original Game Soundtrack)","At Doom's Gate","1:10","6","5","thumbs-up"
"Mick Gordon","Doom (Original Game Soundtrack)","Rip & Tear","4:17","3","5","thumbs-up"
"WWE & CFO$","Femme Fatale (The IIconics)","Femme Fatale (The IIconics)","3:26","7","5","thumbs-up"
"Limp Bizkit","Greatest Hitz","My Way","4:33","6","5","thumbs-up"
"Limp Bizkit","Greatest Hitz","Rollin' (Air Raid Vehicle)","3:33","7","5","thumbs-up"
"Limp Bizkit","Greatest Hitz","My Generation","3:41","4","5","thumbs-up"
"Limp Bizkit","Greatest Hitz","Take A Look Around","5:19","7","5","thumbs-up"
"Limp Bizkit","Greatest Hitz","Re-Arranged","5:54","8","5","thumbs-up"
"Limp Bizkit","Greatest Hitz","Break Stuff","2:46","7","5","thumbs-up"
"Limp Bizkit","Greatest Hitz","Nookie (GH version)","4:26","4","5","thumbs-up"
"Limp Bizkit","Chocolate Starfish And The Hot Dog Flavored Water (Bonus Disc)","Faith","2:27","6","5","thumbs-up"
"Limp Bizkit","Greatest Hitz","Faith (Explicit)","2:26","6","5","thumbs-up"
"Limp Bizkit","Greatest Hitz","Counterfeit (Album Version Edited)","4:48","4","5","thumbs-up"
"Lady Gaga","Born This Way (International Standard Version)","The Edge Of Glory","5:21","8","5","thumbs-up"
"Lady Gaga","The Fame Monster (UK Deluxe)","Bad Romance","4:54","2","5","thumbs-up"
"Lady Gaga","The Fame","Poker Face","3:57","3","5","thumbs-up"
"Lady Gaga","The Fame","Just Dance (feat. Colby O'Donis)","4:01","3","5","thumbs-up"
"Frank Black","Scott Pilgrim vs. The World OST","I Heard Ramona Sing","3:41","3","5","thumbs-up"
"Plumtree","Scott Pilgrim vs. The World OST","Scott Pilgrim","3:02","17","5","thumbs-up"
"Sex Bob-omb","Scott Pilgrim vs. The World OST","We Are Sex Bob-omb","2:02","24","5","thumbs-up"
"Beck","Scott Pilgrim vs. The World: Original Score","We Are Sex Bob-Omb","0:59","12","5","thumbs-up"
"Dance With The Dead","Remixes","We Will Rock You (Dance with the Dead Remix)","3:40","7","5","thumbs-up"
"Chumped","Faux Real II","Threshold","2:22","43","5","thumbs-up"
"Tycho","Dive","A Walk","5:16","16","5","thumbs-up"
"Jack White","Sixteen Saltines","Love Is Blindness","3:18","42","5","thumbs-up"
"Perfect Pussy","I Have Lost All Desire For Feeling","I","1:59","15","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","Hammer To Fall (2011 Remaster)","3:39","3","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","I Want It All (2011 Remaster)","4:02","5","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","Radio Ga Ga (2011 Remaster)","5:44","6","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","Under Pressure (2011 Remaster) [feat. David Bowie]","3:57","6","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","A Kind Of Magic (2011 Remaster)","4:23","4","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","We Are The Champions (2011 Remaster)","3:07","4","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","We Will Rock You (2011 Remaster)","2:02","2","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","Seven Seas Of Rhye (2011 Remaster)","2:48","4","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","Flash (2011 Remaster)","2:48","1","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","Now I'm Here (2011 Remaster)","4:14","3","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","Somebody To Love (2011 Remaster)","4:57","2","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","Crazy Little Thing Called Love (2011 Remaster)","2:44","6","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","Don't Stop Me Now (2011 Remaster)","3:30","2","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","You're My Best Friend (2011 Remaster)","2:51","4","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","Bicycle Race (2011 Remaster)","3:01","3","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","Fat Bottomed Girls (2011 Remaster)","3:23","2","5","thumbs-up"
"Queen","The Platinum Collection (2011 Remaster)","Bohemian Rhapsody (2011 Remaster)","5:56","2","5","thumbs-up"
"Bully","Feels Like","Trying","3:53","3","5","thumbs-up"
"Robert Prince","Doom","At Doom's Gate","1:44","7","5","thumbs-up"
"Dance With The Dead","Remixes","Around the World (Dance with the Dead Remix)","4:12","11","5","thumbs-up"
"Dance With The Dead","Remixes","Paint It Black (Dance with the Dead Remix)","3:02","7","5","thumbs-up"
"Dance With The Dead","Remixes","Master of Puppets (Dance with the Dead Remix)","4:41","11","5","thumbs-up"
"Blondie","Eat To The Beat","Living In The Real World (Remastered)","2:53","6","5","thumbs-up"
"The Prodigy","Invaders Must Die","Invaders Must Die","4:55","4","5","thumbs-up"
"OPM","Menace to Sobriety","Heaven Is A Halfpipe","4:18","4","5","thumbs-up"
"Downtown Boys","Full Communism","Monstro","3:24","4","5","thumbs-up"
"G.l.o.s.s","Demo 2015","G.L.O.S.S. (We're from the Future)","1:31","3","5","thumbs-up"
"Priests","Bodies and Control and Money and Power","And Breeding","3:11","5","5","thumbs-up"
"White Lung","Deep Fantasy","I Believe You","1:42","5","5","thumbs-up"
"New Bloods","The Secret Life","Oh, Deadly Nightshade","2:56","7","5","thumbs-up"
"Sleater-Kinney","All Hands On The Bad One","#1 Must Have","3:03","6","5","thumbs-up"
"Le Tigre","Le Tigre","Hot Topic","3:44","6","5","thumbs-up"
"Julie Ruin","Julie Ruin","Crochet","2:01","4","5","thumbs-up"
"Hole","Pretty On The Inside","Teenage Whore","2:57","7","5","thumbs-up"
"Hole","Live Through This","Violet","3:24","7","5","thumbs-up"
"Huggy Bear","Taking The Rough With The Smooch","Herjazz","2:55","9","5","thumbs-up"
"PJ Harvey","Rid Of Me","50 Ft Queenie","2:23","11","5","thumbs-up"
"Bratmobile","Pottymouth","Cool Schmool","2:03","5","5","thumbs-up"
"Slant 6","Soda Pop * Rip Off","What Kind of Monster Are You?","2:03","2","5","thumbs-up"
"Fugazi","13 Songs","Suggestion","4:44","3","5","thumbs-up"
"Sonic Youth","Bad Moon Rising","Flower","3:35","4","5","thumbs-up"
"Vulpes","Me gusta ser una zorra","Me gusta ser una zorra","2:33","5","5","thumbs-up"
"Vivien Goldman","Resolutionary (Songs 1979-1982)","Private Armies","6:17","3","5","thumbs-up"
"Neo Boys","Sooner or Later","Rich Man’s Dreams","3:32","","5","thumbs-up"
"Bush Tetras","Too Many Creeps 7""","Too Many Creeps","4:02","4","5","thumbs-up"
"The Slits","Cut","Typical Girls","3:55","4","5","thumbs-up"
"Bags","Dangerhouse Volume 1","Survive","2:49","2","5","thumbs-up"
"GosT","Behemoth","Behemoth (Perturbator remix)","4:22","2","5","thumbs-up"
"GosT","Behemoth","Reign in Hell (Dance with the Dead remix)","3:42","6","5","thumbs-up"
"Dance With the Dead","Send the Signal","Nightdrive","4:31","2","5","thumbs-up"
"WWE & CFO$","Glorious Domination (Bobby Roode)","Glorious Domination (Bobby Roode)","3:48","17","5","thumbs-up"
"WWE & CFO$","Chrome Hearts (Gargano & Ciampa)","Chrome Hearts (Gargano & Ciampa)","3:04","9","5","thumbs-up"
"WWE & CFO$","No Way (No Way Jose)","No Way (No Way Jose)","4:13","13","5","thumbs-up"
"WWE & CFO$","Making a Difference (Andrade)","Making a Difference (Andrade)","3:50","9","5","thumbs-up"
"WWE & CFO$","Elite (American Alpha)","Elite (American Alpha)","4:15","15","5","thumbs-up"
"The Prodigy","Their Law: The Singles 1990-2005","Voodoo People [Pendulum Remix]","5:08","2","5","thumbs-up"
"Steel Pulse","Tony Hawk's Underground 2 OST","Born Fe Rebel","4:42","12","5","thumbs-up"
"Iron Maiden","The Number Of The Beast","The Number Of The Beast","4:52","4","5","thumbs-up"
"Iron Maiden","The Number Of The Beast","The Number Of The Beast","4:52","5","5","thumbs-up"
"Bikini Kill","The Singles","Rah Rah Replica","0:59","5","5","thumbs-up"
"Bikini Kill","The Singles","Anti-Pleasure Dissertation","2:29","8","5","thumbs-up"
"Bikini Kill","The Singles","I Like Fucking","2:16","37","5","thumbs-up"
"Redd Kross","Born Innocent","Linda Blair","2:04","5","5","thumbs-up"
"Youth Brigade","Sink With Kalifornija","Blown Away","2:47","3","5","thumbs-up"
"Frank Furillo","Metalliska","The Final Countdown","4:08","4","5","thumbs-up"
"Van Halen","Best Of Volume 1","Ain't Talkin' 'Bout Love","3:46","5","5","thumbs-up"
"Reel Big Fish","Metalliska","Kiss Me Deadly","3:43","6","5","thumbs-up"
"Elle King","Ghostbusters (Original Motion Picture Soundtrack)","Good Girls (from the ""Ghostbusters"" Original Motion Picture Soundtrack)","2:59","24","5","thumbs-up"
"Nirvana","Nevermind (Deluxe Edition)","Here She Comes Now (Smart Sessions)","4:59","6","5","thumbs-up"
"Living Colour","Stone Free: A Tribute to Jimi Hendrix","Crosstown Traffic","3:15","1","5","thumbs-up"
"The Cure","Stone Free: A Tribute to Jimi Hendrix","Purple Haze","5:21","","5","thumbs-up"
"Nada Surf","Where Is My Mind: A Tribute To The Pixies","Where Is My Mind?","4:18","1","5","thumbs-up"
"Garbage","Garbage (20th Anniversary Deluxe Edition (Remastered))","Kick My Ass","2:31","4","5","thumbs-up"
"The Dickies","The Incredible Shrinking Dickies","Banana Splits","1:57","8","5","thumbs-up"
"The Dickies","The Incredible Shrinking Dickies (Expanded Version)","Banana Splits","1:56","8","5","thumbs-up"
"The Ramones","The Chrysalis Years Anthology","Spiderman","1:56","4","5","thumbs-up"
"Joy Orbison","Hyph Mngo","Hyph Mngo","5:38","25","5","thumbs-up"
"Ol' Dirty Bastard","N***A Please","Got Your Money (feat. Kelis)","3:59","14","5","thumbs-up"
"Sleigh Bells","Treats","Crown On The Ground","3:49","6","5","thumbs-up"
"Sleigh Bells","Treats","Kids","2:46","10","5","thumbs-up"
"Mick Gordon","Killer Instinct (Original Game Soundtrack), Season 2","Inferno (feat. LittleVMills)","7:15","6","5","thumbs-up"
"Mick Gordon","Killer Instinct (Original Game Soundtrack), Season 2","Village of Whispers (feat. Erika Mariko Olsen)","7:16","3","5","thumbs-up"
"Adolescents","Adolescents","Amoeba","3:06","8","5","thumbs-up"
"Half Pint","Half Pint","Crazy Girl","3:52","19","5","thumbs-up"
"Suicidal Tendencies","Suicidal Tendencies","Insitutionalized","3:50","6","5","thumbs-up"
"Suicidal Tendencies","Suicidal Tendencies","Subliminal","3:08","7","5","thumbs-up"
"dan le sac Vs Scroobius Pip","Repent Replenish Repeat","You Will See Me","5:35","8","5","thumbs-up"
"dan le sac Vs Scroobius Pip","Repent Replenish Repeat","Stunner","3:58","13","5","thumbs-up"
"dan le sac Vs Scroobius Pip","Angles (Bonus Track Version)","Thou Shalt Always Kill","5:20","12","5","thumbs-up"
"Steel Panther","All You Can Eat","Gloryhole","4:32","11","5","thumbs-up"
"Weezer","Jackass 3D OST","Memories","3:15","10","5","thumbs-up"
"Roger Alan Wade","Jackass 3D OST","Party In My Pants","2:00","7","5","thumbs-up"
"Twisted Sister","Jackass 3D OST","The Kids Are Back","3:19","15","5","thumbs-up"
"Karen O","Jackass 3D OST","If You're Gonna Be Dumb, You Gotta Be Tough","3:30","9","5","thumbs-up"
"Chris Pontius","Jackass The Movie: Number Two OST","Karazy","2:17","5","5","thumbs-up"
"Roger Alan Wade","Jackass The Movie: Number Two OST","Sometimes I Don't Know If I'll Make It","2:46","6","5","thumbs-up"
"The Datsuns","Jackass The Movie: Number Two OST","MF From Hell","3:36","5","5","thumbs-up"
"Karen O (feat. Peaches)","Jackass The Movie: Number Two OST","Backass","3:10","6","5","thumbs-up"
"The Graduate","Only Every Time","Don't Die Digging","3:56","25","5","thumbs-up"
"Andrew W.K.","Jackass The Movie OST","We Want Fun","4:21","29","5","thumbs-up"
"Scroobius Pip","Distraction Pieces","Introdiction","3:27","17","5","thumbs-up"
"Julien Baker","A.V. Club Undercover","Photobooth","4:21","21","5","thumbs-up"
"Eminem","The Eminem Show","Cleanin' Out My Closet","4:58","8","5","thumbs-up"
"Eminem","The Eminem Show","Business","4:12","6","5","thumbs-up"
"Eminem","The Eminem Show","White America","5:25","9","5","thumbs-up"
"Justice","D.A.N.C.E. (Remixes)","D.A.N.C.E. [MSTRKRFT Remix]","4:41","4","5","thumbs-up"
"Transviolet","Transviolet","Girls Your Age","3:28","12","5","thumbs-up"
"Metric","Fantasies","Gimme Sympathy","3:55","11","5","thumbs-up"
"Breton","Life is Strange Soundtrack","Got Well Soon","4:54","6","5","thumbs-up"
"Pretty Girls Make Graves","The New Romance","All Medicated Geniuses","3:24","8","5","thumbs-up"
"Patrick Carney","BoJack's Theme (feat. Ralph Carney)","BoJack's Theme (feat. Ralph Carney)","4:24","13","5","thumbs-up"
"LADYBABY","Nippon Manjyuu","Nippon Manjyuu","4:28","12","5","thumbs-up"
"White Lung","Paradise","Hungry","2:55","9","5","thumbs-up"
"Duran Duran","Greatest","Hungry Like The Wolf","3:29","24","5","thumbs-up"
"Stevie Boy","ICW","War Boy","2:36","16","5","thumbs-up"
"Don Henley","I Can't Stand Still","Dirty Laundry","5:36","10","5","thumbs-up"
"Colonel Mustard & The Dijon 5","Party to Make Music to Party to Make Music to Party to Make Music to, Pt. 1","International Sex Hero","3:14","6","5","thumbs-up"
"Ja Rule","The Last Temptation (UK special edition)","Mesmerize (feat. Ashanti)","4:38","3","5","thumbs-up"
"Ja Rule","Pain Is Love","Always On Time (feat. Ashanti)","4:05","7","5","thumbs-up"
"katie ellen","wild <3 demo","tv dreams","2:31","6","5","thumbs-up"
"katie ellen","wild <3 demo","wild <3","2:11","4","5","thumbs-up"
"Chumped","Not the One","Not the One","3:16","11","5","thumbs-up"
"Screaming Females","What If Someone is Watching Their T.V.?","Starve The Beat","4:38","5","5","thumbs-up"
"Screaming Females","Ugly","Doom 84","7:38","4","5","thumbs-up"
"Screaming Females","Power Move","Bell","2:24","13","5","thumbs-up"
