"Index","artist","album","title","duration","playcount","rating","rating_interpretation"
"2381","Kaskade with Rebecca & Fiona","TheBurningEar.com","Turn It Down (Le Castle Vania Remix)","6:50","36.0","5","thumbs-up"
"2389","Warpaint","Live","Undertow","4:16","17.0","4",""
"2394","Mystery Skulls","Unstoppable","Unstoppable","3:41","12.0","4",""
"2401","Six Seconds Magic","6SM EP","VOICELESS","3:50","7.0","4",""
"2404","Innerpartysystem","Innerpartysystem Mixtape: Vol. 2- Winter 2009","Vol. 2- Winter 2009","27:15","6.0","4",""
"2406","Jimi Hendrix/Jay-Z","Remix","Voodoo Problems","4:47","28.0","4",""
"2407","The Prodigy/Beastie Boys","Remix","Voodoo Sabotage [Kleptones]","4:35","9.0","4",""
"2426","Kill Hannah","Unreleased Cuts 2000/2001","Welcome to Chicago, Motherfucker","3:12","13.0","4",""
"2432","Nine Inch Nails","NINRemixes.com","We're In The Blurred Line Closer Now [Totom Remix]","6:23","22.0","5","thumbs-up"
"2438","Stan Marsh, Kenny McKormick, Kyle Broflovski, Eric Cartman","South Park: Bigger, Longer & Uncut OST","What Would Brian Boitano Do?","1:34","4.0","4",""
"2443","Skull Tape","TheBurningEar.com Best Covers of 2011","Whip My Hair (Drowning In Blood) (Willow Smith Cover)","5:34","25.0","4",""
"2445","Sonic Boom Six","Covers","Whistle","4:01","10.0","4",""
"2450","Goldberg","WWE","Who's Next","3:21","16.0","4",""
"2463","Tenacious D","Live at Brixton Academy","Wonderboy","6:57","4.0","4",""
"2470","The Tea Party","Seven Circles","Writing's On the Wall","2:41","6.0","4",""
"2475","Norihiko Hibino","Metal Gear Solid 2: The Other Side","Yell ''Dead Cell''","2:01","22.0","4",""
"2476","SHINING WIZADO",">blades","YES (Demo Feat. Six Seconds Magic)","2:37","22.0","4",""
"2477","Alestorm","Back Through Time","You Are A Pirate","1:33","6.0","4",""
"2487","The Rock","WWE","You Smell It?","2:25","25.0","4",""
"2494","Akira Yamaoka","Silent Hill (The Movie) OST","You're Not Here","3:47","14.0","4",""
"2502","ｍ.ｏ.ｖ.ｅ","ＢＯＵＬＤＥＲ","ＤＯＧＦＩＧＨＴ","4:21","16.0","4",""
